;author_id;username;author_followers;author_description;author_location
3869;1424493799242338306;httpeido;13;só um maluco que quase perdeu o setembro amarelo;na sua
3870;3075486825;xxBruxinha;1689;anêmica e seminua • pro player de stardew valley • chaotic good • textil e moda na USP • INFP • @Hllw_w ♡;loading...
3871;1187500507155353600;heitordecampos2;126;el camino;
3872;1605225681293656065;Mikaell52592434;0;;
3875;1501690106184409089;TheShadowOfPink;244;Do you think about me now, yeah?;
3876;38678966;vickfernandes;571;hello, stranger;Rio de Janeiro, Brasil
3877;355151828;ifucgabriela;61;🇪🇪hoping that some young dumb thrills still get me going;
3878;11064012;bandeides;286;i'm nothing but heart;São Paulo-SP-Brazil
3879;289310432;zafapimentel;342;Marginal influencer / Comunista Platinum / Calvo;
3884;1080439925772873728;adoidadosgato;94;Carne, ossos e caos;
3885;67454169;bob1506;330;Carioca, 43 anos . Que le gusta mucho a música, peliculas, teatro, libros y telenovelas.;Rio de Janeiro
3886;1374072161514704896;anapaulatuiter;705;‧*･༓. ☾ Sentindo muito a falta do meu Filho de 4 patas Pretinho 🐈‍⬛ Amor da minha vida 😭☽༓･*˚;
3887;890995673079971840;wonwoo_skies;412;we are space dust trying to find our way back to the stars ❀ ela/dela-she/her;sunrise
3889;1093943682062082050;eucajuina;1515;quando eu cheguei já tava assim. Redatora. MSc FAU USP. Corinthians & #RavensFlock;Nordeste
3890;93704261;andrey1980;5710;🌈💪💻🐶 https://t.co/XzV7VHmrp8;Porto Alegre, Brazil
3892;241649102;giu__rocha;125;;Acolá
3893;1388131257440145410;Amococada;394;;Rio de janeiro 
3894;1556655586284109825;MariaIs28440738;0;;
3895;2515930611;RaLascasas;5605;Antropóloga Antifascista                        Lula Presidente 13🚩                      Coragem, eternamente coragem! ♥️;
3900;6276392;lufreitas;5004;só o presente funciona, o resto é disfuncional. nem por isso vamos esquecer o passado e aprender com ele.;Brazil
3901;841673564;nanarrita;193;sentimentos revolucionários.;Corredores do Louvre
3902;2918924705;aleelps;544;Eca sulista no tt 🤢@sechiwa ♡;Florianópolis, Brazil
3903;1098394814473748480;_petala_;840;Estudante de psicologia I Lead Mod Inhouse Jinx;
3905;423415666;Gigica_Mazza;279;Suas decisões vão formar o ser humano que você escolher ser, escolha com cuidado! Apaixonadíssima pelo @Raviolizinho  sz;
3906;810989038580670464;scarybvnny;97;odeio ricos e amo os animais;
3907;1274578498611535874;Trizbeck;18495;veterinária | onisciente | @riccizin 🤍;
3908;926969450;Superlockwhoers;658;Multifandom/spoilers! #KinkiKids #bjyx #onepiece #Destiel #JWDS #lbfad #WangXian #YueZhi #XiYuan #yrjz #pingxie #bkdk #ace #vegan;she / her
3909;225251792;jjoaortt;2668;a arte é parte fundamental da resistência, não é por acaso que ela tem sido um dos principais alvos da selvageria de extrema direita-Jornalista Cynara Menezes-;São Paulo, Brasil
3910;321604148;Mitty2011;430;🦅Eu escolhi a vida abundante, a alegria viva e transbordante de Deus.✝️ RIP. M.M 💔Thalia 😘;Jabaquara 
3911;1612369707503337472;Fernand36202679;0;;
3912;1373836519996284931;Marizv8;1641;Fora Bolsonaro desde pequena!;
3913;821161621141782529;marcelams1511;98;;Campinas, Brasil
3915;1612993813785493504;Camaroes8;0;;
3916;1598475308759392266;isentaralhasso;5;Queria discutir de forma a analisar isentamente posturas e opniões, mas vi que é impossível. O fato é que só tenho dúvidas e espero sempre mudar de opinião.;São José do Rio Preto, Brasil
3917;39589400;AnaCaroliiinah;3524;Hoje menos babaca que ontem, pelo menos eu espero que sim. Favor ignorar tuítes antigos, eu era fã de Pânico e CQC.;São Gonçalo. RJ
3919;1494235146937065473;im_no_important;32;;
3920;1575957652781383681;Geraldo19671;2046;Técnico agrícola, Gestor Ambiental, Lulista 13, Democrata, Ateu, NÃO ACEITO A OPINIÃO DE NEOFACISTAS E DE EVANGÊLICOS;Ji-Paraná, Brasil
3922;1103320811170091009;jucaravlf;1764;aposentada ‘quero um país melhor…🎼🎼🎼;Pompéu, Brasil
3923;26959659;O_dara_;358;"surfista do Paranoá;  putafeminista; antirracista; antiproibicionista; puta de raiz; cannabica; iconoclasta e cética.";Brasília
3924;4913552855;zidani5mo;619;Sobrevivi ao 7x1;São Paulo, Brasil
3925;1409168647076130823;LucidiSantos;4561;FECHADA COM LULA🚩🚩🙋🏽‍♀️🦋🌹❤Meu ❤ é vermelho;Rio de Janeiro
3926;24288247;angel2109;762;nóis cresceu sem sazon mas cresceu com amor;Santos/SP
3927;913612812;Fatima0211;91;Filha, mãe e avó!Professora alfabetizadora (quase) aposentada!;Aracaju, Brazil
3928;1265087268169175040;flaviaetal;85;🚀  De Caruaru pro Mundo!Cantora, atriz e engenheira química.;Brasileira, Brasil
3929;121257965;rosemarywarde;7170;Meu presidente foi eleito , respeitem meu voto e o voto de 60 milhões de brasileiros!;Santos, Brasil
3930;1497642342240690179;renesurjusf;1194;Andar com fé, que a fé não costuma falhar.;
3931;45449537;jovbh;277;What the hell am I doing here? I don't belong here 🎶 #Lula13;Recife-PE
3932;114780545;OiReginaPepper;1405;Esse perfil apóia a ciência e a vacina!♥🧬💉🔗🚫🐴🚫🐮;Santo André, Brasil
3934;715048546035245056;sabrininharfn;215;Aranauam ✨ A flecha é pra cima 🏹 Okê Arô 💚;+55013 Santos City
3935;39485479;vilibeck;102;Ateu,  amante incondicional de animais e mega fã de tecnologia.;Campinas/SP/Brasil
3936;35638533;johanez;116;;BH - Terra do Tosco Burguer
3937;1464987557901578245;AliceMe75098427;213;;
3939;1409665207685746689;barbieri_rosane;454;Fundadora do @QuintalCienciaAstronomia/HistóriaAmbientalista Sem Amazônia, sem vida#Amazônia Elvis, forever!Somos diversos, somos plurais;Rio de Janeiro, Brasil
3940;125754512;Aninhaodc13;12398;Sou petista de alma e de carteirinha . Sou petralha por convicção!Acredito e luto por um Brasil mais justo e igualitário;Guarani Minas Gerais 
3941;66450571;giselipovia;558;Quem me conhece não me confunde, só me confunde quem não me conhece!;Campinas, Brasil
3942;1567281456816308224;motokinha2022;221;;
3943;1483526884986138630;PacienciaSra100;126;mineira, sem muito jeito pra esse trem de Twitter. Não sou santa mas sou gente fina.;
3944;1541530855339950085;Lucienn00796868;85;;
3945;226891294;aestefanoo;179;;Campinas, Brasil
3946;962477137071665152;sarnanarecord;88;;
3947;2220583968;Rosealves_12;9;;
3948;1254820891873206278;AbraoIliria;1247;;São Paulo 
3949;160751532;efehbastos;1924;Ator sem DRT!Comediante não reconhecido.Jornalista sem diploma.Batata Palha;Belo Horizonte, MG
3950;1155517954810945536;RehemNascimento;363;"Memento mori. Mas ""não tema, segue adiante, e não olhe para trás"". Carpe Diem.(21/junho/2021 - 20h15 -3GMT).Nome alterado em 10/10/21 10h32. O revés do parto.";São Paulo, Brasil 
3952;214977848;tsproani;132;Amante das plantas, animais e da liberdade.;BR
3953;44257998;fcpgta;4240;;Recife, Brasil
3954;1046944366173007873;Maria_Irritada;5441;⬅️Sempre Agora é 13!!!! PT Sempre. #LulaSim 13 🌟🚩 #VamosJuntosPeloBrasil 🌟🚩;São Paulo, Brasil
3956;1230877581328687105;Nane92206365;145;;
3957;1254201624;josenildoitalo;111;Nordestino e petista , Vamos a luta.✊✌; brasil
3958;15198020;LorenaLins;193;;Brasília/DF
3959;1484353155148050434;Tatiane82054504;1;O melhor momento da sua vida está lá no imprevisível 🍀;Sao Paulo, Brazil
3960;1580297928509464598;izabelleapenas;43;Não uso pontuação adequada nas frases.;
3962;1614593392129855489;Henriqu39037879;1;;
3963;809179266126647296;Maurici60804344;607;;
3964;43977560;fenige;86;;São Paulo
3965;1150811056366919680;Vitor__RJ;27521;Esquerda. Não sigo bolsonaristas e nem @ pornos.Músico - baixistaSeguido por @LulaOficialCurto, assisto e comento BBB. Portanto não me encham o saco, rsrsrs;Rio de Janeiro
3966;1003460881974484992;05rejane;1912;Pesquisadora🎨Dir. de Arte 📝JornalistaDa turma dos Direitos Humanos🏔🏖Viajante;Brazil
3967;1031494897;feevars;413;Dev Java, vegana, 中文学生.Política, carnaval, fit  🖥️🌱 🐐não compre, adote.;Sao Paulo, Brasil
3968;1014891979732287495;aliceadorno;106;IYKYK;AP-304
3969;3360584765;NeiaRado;53;;
3970;1051554232388775946;Coandoo;155;Apenas usando o twitter pra salvar conteúdo sobre política.;
3971;490992975;walap1994;9;;
3972;1236832550892560384;DeniseM59174623;402;;
3973;1565143022932828161;Lislei03786779;43;;
3974;3855255640;suzanacardosod3;1552;o passado é o q vês em tua frente !!e o futuro esta em seu coração !!pensamento indígena;Rio Grande do Sul, Brazil
3975;341687356;bucetaodohulk;1689;Pronome: nenhum. De preferência não me dirija a palavra.;Belo Horizonte, Brasil
3976;1587446817876320257;Ana_CBoaventura;255;Advogada familiarista, civilista, feminista, espiritualista, humanista, nascida em MG, criada em Brasília e mãe de adolescente rebelde 🌈;Brasília
3977;1513746240697159682;uelisson_L;113;🚿 lockeroom fan fest;
3978;1522541689369513986;TrabalhoTrt;98;Cristãos não fazem arminha. Fora Bolsonaro!Advogada, Servidora federal, Empresária.;Ipanema, Rio de Janeiro.
3980;1570464092086738955;dmldbdmldb;331;;
3981;863366481203122176;kaka_shark;466;"Advogada e Historiadora. Filósofa de botequim nas horas vagas.  Excelente mãe e PÉSSIMA dona de casa. Esquerdopata ""com força"".";Sou do Mundo, sou Minas Gerais
3982;1324021296884260864;LevinoFernando3;2661;morador zona Norte do Rio parada de lucas adoro política antifascista ser for da direita não me segue #esquerdistaseguesquetdistas membro conexão petista;Rio de Janeiro, Brazil
3983;1567544914660950016;zaroni_maria;206;;
3984;1079861230779670528;Margare24844744;96;;
3985;1569637070716702723;mauropaine2022;3542;♠️♥️♦️♣️ Samba no Pé. Travel Facilitator/Tarot Reader, Long Bucket List. Work in Progress. Earth Child. NÃO às Injustiças. Socialist. 🚩🌎🏳️‍🌈🇧🇷☭🚩;Brazil
3986;1123285747430195200;Nina56915595;4405;;Sao Paulo, Brazil
3987;1254836674808483841;ArleneSampaio3;446;Respeito opiniões divergentes e espero o mesmo.;Nova Iguaçu, Brasil
3990;19625681;Reginacelia;418;acabei de acordar de um pesadelo miliciano. exausta, porém feliz.;Brasília e por aí...
3991;49015750;SandraJunqueira;413;Sou legal, mas não abusa.;Curitiba - Brasil
3992;1526225324400422916;CatarinaTroian1;39;;
3993;1594363325919502336;conciliele;56;;
3994;904822920136011776;murari_cesar;2;;
3995;1269246290455662592;RColellaroberto;2725;;São Paulo, Brasil
3996;1011999673228382214;DiJo2021;12247;Esquerdista,  Flamenguista, Carioca e Terraredondista. FORA BOLSONARO!;
3997;128063583;Yva_Colleto;957;Lésbica Antifascista, feminista, militante de twitter.;Minas Gerais
3998;80405589;cristieMJ;653;Pessoas,muito mais que coisas, devem ser restauradas,revividas, resgatadas e redimidas: jamais jogue alguém fora. (Audrey Hepburn)UECE -Centro de Humanidades ❤;Nordeste do Brasil
3999;1546593222452977664;Amanhavaiserou1;736;#forabolsonaro🇧🇷🇧🇷🇧🇷;São José, Brasil
4000;95627199;gragiacometti;244;Virar jacaré tudo bem, gado jamais! Jacaré eu tiro de letra só não tomaria se fosse virar Bolsonaro!;Brasil
4001;1056615612955455489;VeraHelenaFSil1;20;;
4002;1544475367221727233;zarinhapreta;1197;Lula outra vez, Brasil feliz de novo!;MG
4003;424650542;LucyenneSa;383;advogada nordestina com muito orgulho!;Recife, Brasil
4004;2192832860;eu_geniah;783;Balbúrdia.;São Paulo 
4005;2573002137;VejaBem88;515;Sempre em busca de um mundo mais justo;
4006;1588541512564047875;ThiagoLewis1984;34;;
4007;1519157460786987014;Daniela22338341;55;;
4008;586179455;ro_lustosa;8330;DEMOCRACIA SEMPRE. Jamais poderão deter a chegada da Primavera;Brasil
4009;1591573743096266760;Beatriz62790090;534;AMOOOOO ANIMAIS❤️❤️🐈🐶🐥🦆🦉🐷🦇🐴🦁🐝🦋🦧🦀🦑🐘🐠🐞🪱🐑🦓🐆🦭🐊;Rio de Janeiro, Brasil
4010;1401585464382050308;ColegiadoA;118;☢️;Salvador, Brasil
4012;267358452;FaniRehem;397;Baiana, socialista e comedora de água (não necessariamente nessa ordem). Voyeur de Twitter.😷#lula13;Feira de Santana/Bahia
4013;164779323;DoisUrsos;1276;Twitter oficial da marca de cerveja Dois Ursos.ʕ•ᴥ•ʔ & ʕ•ᴥ•ʔNão contém parabenos.;
4014;13732492;decows;2320;Jornalista dilmista e lulista;Diadema/SP
4015;377369010;SAULDECASTROSIL;8434;;
4016;1042204901382729728;SheylaAlcantar6;3995;;Rio de Janeiro 
4017;1105958038865883136;crispustifag;3912;#LulaPresidente2022Mãe do Guilherme 💕Apaixonada pelo marido e pelo Lula❤Coloradíssima🇦🇹🇦🇹Amo cachorros,gatos,animais em geral. 🐾 PT na veia#Vacinem-se;
4018;441781500;AngeloRomanoPan;2698;Viva a Liberdade !!!;São Paulo - Brasil
4019;1585628205884444672;83Leobarreto;18;;
4020;1453510847154827266;JosueFr93657879;3115;;Águas Lindas de Goiás, Brasil
4021;1541949846818521089;linaer150;103;Não quero seguidores, nem fama, nem reconhecimento. Comento as coisas q estão nos trendings pq me divirto muito.;
4023;47650393;drica_salam;868;🕉☯️☮                                                                 to boldly go where no one has gone before 🖖;Brasil
4024;394013875;ClaudiaHelenaGe;103;Simplesmente Cláudia...;Florianópolis - SC
4025;496514998;JOCACAMARGO2020;2849;Se embora acreditar. Tudo isso vai passar. Fé em Deus e na Justiça  por um mundo mais humano e social.Em rede social,  não perco meu tempo com apedeutas. Block;Porto Alegre, Brazil
4026;242049343;carlosmheraclio;4362;"🌟Qualquer um pode ser falsificado; eu não posso. Não posso e não quero. Tenho orgulho da minha origem, da minha história.🌟 Luís Inácio Lula da Silva✊";Maua - São Paulo - Brasil
4027;1401740741949497346;diasmelhoresbr;2084;De volta à civilização 🚩Temos um país pra reerguer 🇧🇷;
4029;1053458650046623839;silmariah1988;3762;Democracia, viva!;Rio Grande do Sul, Brazil
4030;1562618968653070338;Lilith_Atca;1958;🚨BOLSONARISMO MATA🚨Casada, mãe de três 😻, combatendo fake news, desinformação e discurso de ódio dos bolsominions.🚫DM🚫;São Paulo, Brasil
4031;3174305927;IzidoroValeria;2706;DEUS me livra do cidadão de bem!#LULALIVRE🥰 #LULAPRESIDENTE ❣️#LULAELEITO❣️#HADDADPRINCESO❣️#FORABOLSONARO enviado do capeta 👹;
4032;842428608438251520;AngelK_AK;1158;Patriota🇧🇷 Robô 🤖 Anti comunista/socialista/petista e todos estes tipos de ista. BOLSONARO PILL;Miami Beach, FL
4033;195966001;vanda_lavandala;92;Sou eu.;
4034;517173186;dalbanf;179;Esposo y Pai. Negócios Internacionais, Música, Esportes, Cinema. Emelec e Barça.;Sao Paulo, Brazil
4035;1532163884;Contabilidade07;572;Fundada em 1991, buscamos fortalecer todos os setores sociais, mas principalmente os que geram emprego e renda. através de consultoria dinâmica e profissional.;Brasil
4036;938599842875691013;tepece12;130;Eu sou louco. Você é louca. Todos somos loucos. Se não fôssemos loucos, não estaríamos aqui.  (Cheshire, Cat);
4037;1441182893074649088;MarcosF46842473;926;;Porto Alegre, Brasil
4038;55101544;fabianoduncan;1120;Fervoroso devoto de Zélia Duncan, namorada da música e da poesia.;Duncanlândia, Brasil
4040;1361139192936493060;jigglysonolenta;108;pokémon nas horas vagas.;
4041;76951660;thiagoribeirao;1669;;
4042;115416135;SangueColoradoo;1389;"SOU COLORADA DE CORPO E ALMA ! INTERNACIONAL, MINHA PAIXÃO ETERNA !!! ÚNICO CAMPEÃO DE TUDOOO !! O UNIVERSO CONSPIRA QUANDO DESEJAMOS ALGO COM MUITA FORÇA !";
4044;163696775;KrenRG;1465;Meu Presidente é Lula! Librarian in Far Far Away;
4045;1223869714943836160;davi_ufop;37;Apenas um pouco de poeira (estelar) pairando Brownianamente neste breve volume do espaço-tempo;Ouro Preto, Brasil
4047;1336072170930393089;Helena13787664;46;;
4048;1501202979810119685;Ezequie21183467;890;Letrólogo 🔠 Pedagogo 🏹 Sagitáriano Postgraduate Certificate (PGCert) - Gestão Educacional - Postgraduate Diploma (PgDip) - Literatura e Linguística.;Sao Paulo, Brazil
4049;3744664703;zaninhatricks1;2412;;Brasília, Brasil
4050;903777198070484993;OnesioPa;244;Brasileiraço, mineiro, paulista. Tentando muito, de novo, sempre....;Sao Paulo, Brazil
4051;61605697;bogarihenrique;695;Gosto de misturar os plural com os singular;Uberlândia, Brasil
4052;84931692;dremogorgon;336;A mina que gosta de tudo um pouco, pregadora da palavra de Steven Universe e doadora de abraços.  ISFJ-T;
4053;1027784880632094720;Michy_y_y;1007;Esquerda sempre é a melhor saida! ✊✊✊✊✊✊;Rio Grande do Sul, Brazil
4055;1517198170920566786;Semprebloqbytt;344;Bloqueado por comentários muito menos ofensivos que os seus... estranho.Vou falar mais sobre o Vasco e parar com as treta política.;
4056;504844187;cavaloderua;8992;Progressista, social democrata.#Grêmio#Botoclinic;Porto Alegre-Rio Grande do Sul
4057;970085832005693440;KlausMonnnzo;8;;Campo Limpo Paulista, Brasil
4058;1125790822904025088;Discpulo6;779;;
4059;1250499572079738880;SeCadunico;8;antibozo;
4061;1435468656012632066;psydrunk13;37;paz entre nós, guerra aos senhores;São Paulo
4062;69431010;RuizMariane;36;;
4064;25605328;paulodorio;128;Inteligência e Dados;Fortaleza
4066;1132700704118857729;Holtraco;330;;
4067;1909861;MonicaDiario;514;;RJ / Brasil
4068;1035336817485205504;MartinuzzoSilvo;1743;Filho do Bhinn ....  mas  não é  o  Ladem. 🇮🇹 🇧🇷;Venda Nova do Imigrante
4069;1442165334769692676;deusa_maia;58;;
4070;52564873;joaomassa;14027;Professor universitário, de esquerda, pai, avô. Democracia e Justiça, sempre. Ódio traz ódio, faz mal à saúde. Sempre à esquerda. Sempre com a ciência.;Campinas, Brasil
4071;1596581858262802432;ValquriaAShakti;401;Produtora, Designer, CEO ONG, CMO 3°Setor.Cons. de Cultura e CDDMulher Membro ABCR.Artes Visuais- EstacioNão é cabelo.É coroa.O brilho são neurônios. #Lula;
4072;1384528258318966789;ahnizibagh;467;as mocinhas da cidade são bonitas e dançam bem;
4074;1239952087527706634;gayLulista13;5115;A quem não acredita na inocência, importância e grandeza do presidente Lula, favor não me seguir, pq n aceito ingratidão, ignorância e falta de memória !!;
4075;1031259707728637953;Vascofarinello1;2435;aposentado do BB, casado, esquerdista não extremista, horror do lixo bolsonarista.;Brasília, Brasil
4076;1469749460;MirianMirianbq;1408;A luta continua, companheiro ✊;
4077;58047404;alefjordao;1333;Personagem da vida real;Brazil
4079;3378088599;marioasouza72;6744;O inferno está vazio e todos os demônios estão aqui!;Rio de Janeiro, Brasil
4080;1587086757694246914;rbdsiRegis;2326;#SDV;Paraná, Brazil
4081;994333349480148992;RoneiElizeu;7;;
4082;1484692542981554176;Lidcar3;269;;
4083;998278421863194626;caipiracarioca;1418;Priorizem educação, a ocupação integral das crianças, com atividades educacionais, artística e física de primeira qualidade, gera emprego, renda e futuro real.;Copacabana, Rio de Janeiro
4084;1578136768364396547;Fidelis2Fidelis;3100;Educador historiográfico e amante da natureza. Coração alvinegro de Pque. São Jorge. Democracia com fim das desigualdades. SDV🚩🚩📢📕;São Paulo, Brasil
4085;1575504700710875138;McSouza67647407;662;;
4086;210655238;camposmendonca;1174;;
4088;67712039;thamyapropria;1134;;
4089;1126261388140253191;Alessan73486060;592;Esquerdalha com orgulho,✌BOLSONARO PRESO URGENTE!!!👊LULA É PRESIDENTE ELEITO, BABACA!✊Observando a tudo e todos.SDV;Salvador, Brazil
4090;872116722035240963;B0L5h3v1K;94;chaotic good.workers and oppressed, unite.#communism #marxismLeninism #metal #antifa #antiImperialism #FreePalestine🇨🇺 🇰🇵 🇵🇸 🇻🇳 🇦🇴 🇱🇦 🇨🇳 🇧🇷;Mordor
4091;37993011;poetacicero;4907;Cícero Gomes, filho do Seu Dunga e Dona Ciça :// poeta, indigenista, social media e membro do Comitê Chico Mendes;Murici, Alagoas 
4092;133794436;l_urbano;3540;🚩✨;
4093;328319349;eliane_chacon;846;;Manaus
4094;1156368409904451585;tharsiii_;100;;essa eu fiz pro nosso amor :(
4095;1304199202814259200;eclatocadosaci;2080;ESPAÇO CULTURAL LATINO AMERICANO 💪🏾🌹🎶🚩🇨🇺🚩🚩;rua Abolição 244 
4096;259375288;Umdosreis;65;Já que amanheceu, o melhor que você faz é viver...;D´Cristo City.
4097;1369792171155546119;GadoMalabarista;93;É cada malabarismo que o gado faz pra defender o bandido de estimação deles que olha...https://t.co/A0c65TE52I;
4098;1292616634478231553;PaxInExcelsis;365;Pax Peace Salam Fréda Paco Paz Shalom Pokoj Mir Solhe Fois Tangnefedd Irini Shanti Damai Taika Frideen Vrede Rongo;Brasília, Brasil
4099;1475622247817691137;A_ToRyBa;850;;
4100;1598482719763304448;adriana_glopess;56;Minha 5° conta. Não tá m.o.r.t.o quem peleia. Brasil 🇧🇷💚💛💙🤍;
4103;339712378;MaCris2005;3731;Professora de História, do Rio de Janeiro, defensora do direito dos negros e políticas públicas para a população, orgulho de votar no PT.;
4104;1053443842299564032;ToledoKellen;44;;
4105;1366176612903968768;LucianeAzeredo;27;A sinceridade;
4106;1500558175224872962;DulcimarOlivei5;534;;
4107;1208900930927779842;RenatoMR123;49;;
4108;1553586002698043393;GianniniTorres;425;;
4109;1411759291;EvandroGatti;125;;
4110;1587568548439855106;DayseProsperity;531;Pela justiça social no Brasil e no mundo.;
4111;1127682087530708994;JaneAlvesBF;384;;Paulo Afonso, Brasil
4112;1259635894899953664;Aaleono1Aaleono;7989;2023🇧🇷 LULA 13🚩🚩🚩Tchê Eu Sou do Sul , Não Sou Terrorista e Nem Nazifascista .;Brasil
4113;849777846507765760;IvanyL30;133;;
4114;59165983;sanches___;464;finalmente radiante☢️/ufmg;Belo Horizonte, Brasil
4115;1494425697867247618;JoiceHe57892891;3121;LULA PRESIDENTE;
4116;936336316211527680;LdeAmanda;84;Médica veterinária pela UFG, katumbaiá, apaixonada por conhecimento e comida. Xonada no meu Tarik Beterraba e em pezinhos de gatos ♡;Goiânia, Brasil
4117;713120483;outromatteus;525;Apaixonado por literatura, cinema, plantas e capuccino.;São Paulo, Brasil
4118;111733799;thais_alsantos;126;Doutora, professora, cristã.;Por aí... 
4119;1339657766273773569;Viihjoy;14;;Rio de Janeiro
4120;1275441052346994691;EricaStenico;130;“ei Bolsonaro vai tomar no c*” -Machado de Assis;
4121;1164211934796926976;nandasousa_99;12;Na minha cabeça existe uma guerra constante entre “se for pra ser, será”, e “se você quer que algo aconteça, faça acontecer”. 🤔📸 Insta: @nandasousa980;São Paulo 
4122;713487740977987584;loriiflores;933;Estudante de Ciências Sociais Políticas Públicas, antiespecista e outras coisas Ela/Dela 🌸💮🌸;Goiânia, Brasil
4123;1090385885907046406;jisungcamp;149;⠀⠀⠀⠀☁︎ ::  ❛❛ 𝗌𝖾𝗅𝖿-𝗌𝖺𝖻𝗈𝗍𝖺𝗀𝖾 𝗂𝗌 𝖺 𝗌𝗐𝖾𝖾𝗍 𝗋𝗈𝗆𝖺𝗇𝖼𝖾  ❜❜;🇮🇹
4125;1428055766813057027;Pradofe1;431;Durante a semana bebo café, aos finais de semana bebo cerveja;
4127;933516213577224192;gggggggi0;48;my mind and me we dont get along sometimes;Bahia, Brasil
4128;1237372383570395136;mccamposc;146;Advogada;Paraná, Brazil
4129;1307776291593170944;renasteress;114;he said: “it’s all in your head” I said “so it’s everything”, but he didn’t get it;
4131;1135899793417560065;paulaffontes;493;tua glória é lutar @flamengo;rj
4132;1582209900041670656;AlexsandraDutr3;109;Tô aqui pra combater Bolsonarista bundão, a vigésima conta derrubada.;
4133;2888353684;FragaaLaura;69;Times are gone for honest menSometimes, far too long for snakes;
4135;111665383;amandaminto;335;... ¯\_(ツ)_/¯;Ribeirão Preto
4137;39861355;GabbyPaiva;829;fazendo o possível, dentro das mínimas possibilidades. 3% com orgulho 🌹 fofoca? aceito;SPA, Rio de Janeiro
4138;448248936;CamilaRatier;126;Kill'em with kindness ✌🏻;Rio de Janeiro, Brazil
4139;1113596812240261120;Dmoor__;356;Ela/Dela | Sad stan| 🏳️‍🌈 ACE  | 18+ years;NJ ♡
4140;996172520;sabrydeluz;1007;🍸;São Paulo, Brasil
4141;714516286198444032;EugenioGiffa;185;Espirita, Esquerda, FLAmenguista, PTista filiado, SEMPRE eleitor de Lula e do PT desde 1989 e com a maior certeza do mundo,#LulaNossoPresidente;Volta Redonda, RJ, Brasil
4142;1579215284845568001;FradeEliza;2053;;
4143;36169986;luizprimodias;25;Esquerda, volver!;São Paulo, Brasil
4144;2566028599;oneirante;1375;'' Never apologise, Never explain .'' Neil Gaiman.;
4145;21066836;lajeunerusse;2181;A jovem russa de Nietzsche • Esquerdista • Feminista • Mãe de pet • Viciada em política • DDHH • Estou perdida, não me siga;São Paulo, SP
4146;2885656679;antoniorn_07;256;Flamenguista Off-Rio, especialista em marketing digital, mineiro, casado.;
4147;1464576036813815813;JorgeSrgioDeSo2;183;;
4148;87323900;MaraRGoes;259;Professora de História;
4149;1535021967958482944;LemosElianag;84;;
4150;826215661047250945;UDuenhas;162;;Penha, São Paulo
4151;161480150;fernando__gama;338;Economia, Política, Ciência, Seguros e Rock and Roll. RT não é endosso.;São Paulo, Brasil
4152;1097829956024000518;claytonbonardi;57;professor de geografia, ator, manipulador de bonecos, contador de histórias e produtor cultural.;Casa Verde, São Paulo
4153;717751373551505408;wellingtonacfe2;651;O trabalho é a essência de todos os entes.;Olinda, Brasil
4154;1448961403583438851;AmliaLoureiro4;86;;
4155;52107307;DayanePecanha;933;Carioca 🥳Flamenguista ❤️🖤Fã da #NatuzaNery❤️Nojo do Bolsonaro 🤮Esquerdista 🚩🚩🚩🚩🚩#ForaBolsonaro#LulaPresidente2022Lula 13! ✊🏽;Rio de Janeiro
4156;26285756;sydaiam;1215;Machina de retwittar esquerdistas❤🥷⭐ Petista raiz! Eu estava lá!#Lula13;Parintins, Brasil
4157;3787308448;paulofiga1;145;Paulo;Niterói, Rio de Janeiro
4158;271545664;lhenriquecabeca;323;Ateísmo, Ceticismo, Humanismo e Santa Cruz Futebol Clube;Recife/Pernambuco/Brasil
4159;54368455;myjacques;1002;minha vidameus mortosmeus caminhos tortosmeu sangue latino;ilha do sulito
4160;118422297;lunnamoreira;1751;não sou uma funcionária de coisas e sim, uma militante de causas;MG Brasil
4161;26216560;dusmonteiro;448;BrasilDeBolsonaroÉoCaraleo#LULA2022Luta de Classe🛠️ Esquerdista🚩 Gayzista🌈 Antiqualquer Forma de Opressão🧠Entre AL e o RS.;
4162;1587119225147121670;fabimahi13;443;Recomeçando no Twitter com Lula Presidente do Brasil 👏!!!;Lula
4163;1254214477777600515;Cidandradefunf1;142;Professora. Mestrado USP;São Paulo, Brasil
4165;41292330;SilMarq;3888;Professora, Ilustradora. Basicamente isso.;São Paulo, SP, Brasil
4166;1379145335692464132;sonia227799;102;Feminista, vegetariana, antifascista, petista, questionadora, defensora dos animais, mãe da Cloe e da Jade.;
4167;1901041914;anibaledesma;194;Docente, aquí no se manifiestan temas relacionados a mi profesión, es mi perfil privado, refleja solo mi ser!!!;Artigas, Uruguay
4168;54966042;neusaavila;357;NAMASTCHÊ🤍 YOGUE-SE: Peleia interna p/achar a própria PAZ. Intermente-Mistura Integral https://t.co/rhg2w6YadJ;Brasil
4169;835964602718486529;jojopancada;65598;Ser de esquerda é ter uma posição filosófica perante a vida, onde a solidariedade prevalece sobre o egoísmo. (José Mujica)#LulaPresidente2022;Santo André, 13rasil.
4170;78119520;CissaBarueri;1640;Meu twitter, minhas regras. 😎🤫🖕🏼Petista com orgulho🚩#SDV🚩;Barueri 
4171;1332801962;JonesBr84;223;Minha beleza é um estereograma difícil de decifrar.;Macondo
